NAME	SMILE Format
Ahpatinin G	O=C(NC(C(NC(C(CC(O)=O)O)CC1=CC=CC=C1)=O)C)CC(C(CC2=CC=CC=C2)NC(C(C(C)C)NC(C(C(C)C)NC(CC(C)C)=O)=O)=O)O
Antibiotic L 174580	OC(CC(NC(C)C(NC(CC1=CC=CC=C1)C(O)CC(O)=O)=O)=O)C(CC(C)C)NC(C(C(C)C)NC(C(C(C)C)NC(CC2=CC=CC=C2)=O)=O)=O
Cyanostatin B	CCCCCCCC(N)C(O)C(NC(CC1=CC=C(O)C=C1)C(N(C)C(C(C)CC)C(N2C(C(NC(CC3=CC=C(O)C=C3)C(O)=O)=O)CCC2)=O)=O)=O
Kailuin	O=C(NC1C(O)C)C(CO)NC(C(CC(C)C)NC(CC(CCCCCCCCCCC)OC(C(C(CC)C)NC(C(CC(C)C)NC1=O)=O)=O)=O)=O
Nannochelin C	ON(C(/C=C/C1=CC=CC=C1)=O)CCCCC(C(OC)=O)NC(CC(O)(C(O)=O)CC(NC(CCCCN(C(/C=C\C2=CC=CC=C2)=O)O)C(O)=O)=O)=O
Phomopsin A	O=C(C(C(O)C1=CC(OC2(C)CC)=C(O)C=C1)NC)NC(C(NC2C(N3C(C(N/C(C(N/C(C(O)=O)=C/C(O)=O)=O)=C(CC)\C)=O)C=CC3)=O)=O)C(C)=C
Edeine-A1; Edeine-A	O=C(NC(CCCC(N)C(O)CC(NCC(NCCCNCCCCN)=O)=O)C(O)=O)C(CN)NC(C(O)CNC(CC(N)C1=CC=C(O)C=C1)=O)=O
5-Hydroxytryptamine	OC(C(O)C1O)C(COC2OC(CO)C(O)C(O)C2O)OC1OC3=CC4=C(NC=C4CCNC(CCCCCCCCCCCCCC(O)C)=O)C=C3
Aspergillicin E	O=C(C1CCCN1C(C(C(C)CC)NC(C(NC(C)=O)C(C)OC2=O)=O)=O)N3CCCC3C(N(C(C(NC2C(CC)C)=O)CC4=CC=C(OC)C=C4)C)=O
Topostatin	CC(C/C=C(C)/C=C/C(C(C)CCC(O1)C(C(NC(C(NCC(C)C(NC(C1=O)CC(OS(=O)(O)=O)C(N)=O)=O)=O)=C)=O)C)=O)CCCCCCC
Microginin SD755	CCCCCC(NC)C(O)C(NC(C(C)C)C(N(C)C(C(C)CC)C(N(C)C(CC1=CC=C(O)C=C1)C(NC(CC2=CC=C(O)C=C2)C(O)=O)=O)=O)=O)=O
U-57930 3-(5'-guanylate)	O=P(O[C@H]1[C@@H](O)[C@H](O[C@H](SC)[C@@H]1O)[C@@H]([C@H](C)Cl)NC(C2NCCC(CC)C2)=O)(O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N4C5=C(N=C4)C(O)=NC(N)=N5
Lipopurealins	O=C(NCCC1=CNC(N)=N1)/C(CC2=CC(Br)=C(OCCCNC(CCCCCCCCCCCCCCC)=O)C(Br)=C2)=N\O
Bouvardin	CN(C(C(C)NC(C(CC1=CC=C(OC)C=C1)N2C)=O)=O)C(CC3=CC=C(O4)C=C3)C(N(C(CC5=CC=C(O)C4=C5)C(NC(C)C(NC(C)C2=O)=O)=O)C)=O
Bouvardin	CN(C(C(C)NC(C(CC1=CC=C(O)C=C1)N2C)=O)=O)C(CC3=CC=C(O4)C=C3)C(N(C(CC5=CC=C(OC)C4=C5)C(NC(C)C(NC(C)C2=O)=O)=O)C)=O
Prophalloin	CC(C(NC(C(NC(C(NC(C)C(NC1C(O)C)=O)=O)CC(C)(C)O)=O)CC2=C(SCC(NC(N3CCCC34)=O)C1=O)NC5=C2C=CC=C5)=O)NC4=O
Ochrobactin C	O=C(CC(O)(C(O)=O)CC(NC(C(O)=O)CCCCN(O)C(/C=C/CCCCCCC)=O)=O)NC(CCCCN(C(/C=C/CCCCC)=O)O)C(O)=O
Nostocyclopeptide A1	CC1CC(C(NC(CC(C)C)/C=N/C(CC2=CC=C(O)C=C2)C3=O)=O)N(C(C(CO)NC(C(C(CC)C)NC(C(NC(CN3)=O)CCC(N)=O)=O)=O)=O)C1
Bufotoxin	OC1(C2(CCC3C1CCC4CC(OC(CCCCCCC(NC(C(O)=O)CCCNC(N)=N)=O)=O)CCC34C)C)CC(OC(C)=O)C2C(C=C5)=COC5=O
Ascidiacyclamide	CC1C(C(NC(C(C)C)C2=NC(C(NC(C3=NC4C(C)O3)C(CC)C)=O)=CS2)=O)N=C(C(C(C)CC)NC(C5=CSC(C(C(C)C)NC4=O)=N5)=O)O1
Antibiotic NW-G01	O=C(NC(C(N1C(C(N2C(C(N(C(C)C(N3C(C4=O)CCCN3)=O)C)=O)CCCN2)=O)CCCN1)=O)C(C)C)C5N4C6C(O)(C(C=CC(Cl)=C7)=C7N6)C5
Wedeloside	OC(C1(C(O)=O)C2C(C3CCC(C4)(O)C(C(O)C34CC2)=C)(C)CC(C1)OC5OC(CO)C(O)C(OC(CCC6=CC=CC=C6)=O)C5NC(CC(C)C)=O)=O
Nocardimicin	O=C(NC(CCCCN(O)C(C)=O)C(OC(CCCCCCCCCCC)C(C)C(NC1CCCCN(O)C1=O)=O)=O)C2=COC(C3=C(O)C=CC=C3)=N2
Microginin 299A	ClC(Cl)CCCCCCC(C(C(NC(C(C)C)C(N(C)C(C(C)C)C(N(C)C(CC1=CC=C(O)C=C1)C(N2C(C(O)=O)CCC2)=O)=O)=O)=O)O)N
Cephabacin F2; Chitinovorin B; TAN-547 B	O=C1[C@](NC(CCC[C@H](N)C(O)=O)=O)(NC=O)C2N1C(C(O)=O)=C(COC(C[C@@H](O)[C@H](CCCNC(N)=N)NC(C(C)NC(C(C)N)=O)=O)=O)CS2
Streptothricin-D; Racemomycin-B; Phytobacteriomycin D; Boseimycin III; AC6-569; Streptolin-A; 229-B; OP-2C	O=C(NC[C@H]1O)[C@@]([C@]1([H])N/2)([H])NC2=N\[C@H]3[C@H](NC(CC(CCCNC(CC(CCCNC(CC(CCCN)N)=O)N)=O)N)=O)[C@@H]([C@@H](OC(N)=O)[C@@H](CO)O3)O
Streptothricin	O=C1NCC(O)C(N/2)C1NC2=N/C(C(C(O)C3OC(N)=O)NC(CC(N)CCCNC(CC(N)CCCNC(CC(N)CCCN)=O)=O)=O)OC3CO
Ochrobactin C	O=C(CC(O)(C(O)=O)CC(NC(C(O)=O)CCCCN(O)C(/C=C/CCCCCCC)=O)=O)NC(CCCCN(C(CCCCCCC)=O)O)C(O)=O
Antibiotic L 156373	O=C(N1C(C(N(C)C2CC3=CC=CC=C3)=O)CCCN1)C4N(C(C(C(C)CC)N(C(C(NC(C5N(CCC5)C2=O)=O)CC6=CC=CC=C6)=O)O)=O)NCCC4
Unguisin A	CC(C(NC(C(C)C)C(NC(CC1=CC=CC=C1)C(NC(C(C)C)C(NC2C)=O)=O)=O)=O)NC(CCCNC(C(CC3=CNC4=C3C=CC=C4)NC2=O)=O)=O
Antibiotic RF 2691A	CC(C)=CCOC1=CC=C(CC(NC(C(CC(C)C)OC(C(OC(C(CO)NC(C(C(C)C)NC(C2CC(C)C)=O)=O)=O)C(C)C)=O)=O)C(N2C)=O)C=C1
Iejimalide A	CC(/C=C/C(OC1/C(C)=C/C=C(C)/CNC(C(COS(=O)(O)=O)NC=O)=O)=O)/C=C/C(C)=C/C(C/C=C/C(C)=C/CCC(OC)/C=C/C=C/C1C)OC
Somocystinamide A	C=CC/C=C/N(C)C(CCCCCCCC/C=C/C(NC(C)=O)CSSCC(NC(C)=O)/C=C/CCCCCCCCC(N(C)/C=C/CC=C)=O)=O
Carboxymycobactins	CC1OC(C2=CC=CC=C2O)=NC1C(NC(C(OC(C(C)C(NC3C(N(O)CCCC3)=O)=O)CC)=O)CCCCN(O)C(/C=C\CCCCC(O)=O)=O)=O
Paecilodepsipeptide B	OC1=CC=C(CC(C(NC(C)C(NC(CC2=CC=C(OCC=C(C)C)C=C2)C(O)=O)=O)=O)NC(CNC(C(NC(C(CC3=CC=CC=C3)O)=O)C)=O)=O)C=C1
Antibiotic BE 32030	OC1=CC=CC=C1C2=NC(C)(C(NC(CCCCN(O)C(CCCCCCCCCCC)=O)C(OC(C)CC(NC3C(N(O)CCCC3)=O)=O)=O)=O)CO2
Anabaenopeptin I	CC(C)C(NC(C(CCCCN1)NC(NC(C(C)CC)C(O)=O)=O)=O)C(NC(CCC2=CC=C(O)C=C2)C(N(C)C(C)C(NC(CC(C)C)C1=O)=O)=O)=O
Argiopinin II	NC(C(NCCCCCNC(C(NC(CC1=CNC2=C1C(O)=CC=C2)=O)CC(N)=O)=O)=O)CCCC[N+](C)(C)CCCNC(C(N)CCCNC(N)=N)=O
Prepatellamide A	O=C(NC(C(C)C)C1=NC(C(NC(C(N2)=O)C(C)CC)=O)=CS1)C3N=C(C(C(C)CC)NC(C4=CSC(C(C(C)C)NC(C2C(O)C)=O)=N4)=O)OC3
Anachelin 1	OC1=CC=CC=C1C2=NC(C(O)CC(O)CC(NC(C(O)C)C(NC(CO)C(NC(CO)C(NC3C[N+](C)(C)C(C=C(O)C(O)=C4)=C4C3)=O)=O)=O)=O)CO2
Anachelin 2	OC1=CC=CC=C1C2=NC(CO)C(CC(O)CC(NC(C(O)C)C(NC(CO)C(NC(CO)C(NC3C[N+](C)(C)C(C=C(O)C(O)=C4)=C4C3)=O)=O)=O)=O)O2
Cephabacin F8; TAN-591 B	O=C1[C@](NC(CCC[C@H](N)C(O)=O)=O)(NC=O)C2N1C(C(O)=O)=C(COC(C[C@@H](O)[C@H](CCCCN)NC(C(CO)NC(C(CO)N)=O)=O)=O)CS2
Patellamide C	CC1C(C(NC(C2=NC(C(NC(C(C)C)C3=NC(C4=O)C(O3)C)=O)=CS2)CC5=CC=CC=C5)=O)N=C(C(NC(C6=CSC(C(N4)C)=N6)=O)C(CC)C)O1
Patellamide F	O=C(NC(C1=NC(C(NC2C(C)C)=O)=CS1)CC3=CC=CC=C3)C4N=C(C(NC(C5=CSC(C(NC(C6C(C)OC2=N6)=O)C(C)C)=N5)=O)C(C)C)OC4
Ulithiacyclamide	CC1C(N=C2O1)C(NC(CC(C)C)C3=NC(C(NC4CSSCC2NC(C5=CSC(C(NC(C6N=C4OC6C)=O)CC(C)C)=N5)=O)=O)=CS3)=O
Methionylvalylphenylalanylisoleucylleucylleucine	O=C(NC(C(C)C)C(NC(C(NC(C(NC(CC(C)C)C(NC(CC(C)C)C(O)=O)=O)=O)C(C)CC)=O)CC1=CC=CC=C1)=O)C(NC=O)CCSC
Yendolipin	O=C(CC(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)NC(CCC[N+](C)(C)C)C([O-])=O
Bravomicin D	OC1=CC=CC2=C1C(C(C(OC)=C(C=CC(C(C(C=C(C(C)CCC)O/3)=C4C3=C(C(N5C(C)C(NC(C(OCC)=O)C5)=O)=O)/N)=O)=C6C4=O)C6=C7O)=C7C2=O)=O
Taxol	CC1=C(C(O)C(C2(C)C(O)CC3C(CO3)(OC(C)=O)C2C4OC(C5=CC=CC=C5)=O)=O)C(C)(C)C4(O)CC1OC(C(O)C(C6=CC=CC=C6)NC(CC)=O)=O
Virginiamycin S<p2>5<p0>	O=C(NC(C(NC(C(N1CCCC1C(N(C(CC2=CC=CC=C2)C3=O)C)=O)=O)CC)=O)C(OC(C(C)NC(C4CC(CCN34)O)=O)=O)C)C5=C(O)C=CC=N5
Fumonisin A<p2>1<p0>	O=C(C(CC(O)=O)CC(OC(C(OC(CC(C(O)=O)CC(O)=O)=O)CC(CC(CCCCC(CC(O)C(C)NC(C)=O)O)O)C)C(CCCC)C)=O)O
4,6,7,9-Tetrahydroxydecanoic acid	CC(CC(O)C(O)CC(O)CCC(NCCS(=O)(O)=O)=O)OC(CCCCCCCC(OC(C)=O)/C=C/CCCCCC(O)/C=C/CCCCC)=O
Diazonamide B	CC(C)C1NC(C(NC(C(N)C(C)C)=O)CC2=CC=C(OC3C45C6=C(C(C7=CC=CC8=C7C(C9=C(Cl)N=C(C%10=C5OC1=N%10)O9)=C(Cl)N8)=CC=C6)N3)C4=C2)=O
Methanofuran	NCC1=CC(COC2=CC=C(CCNC(CCC(C(O)=O)NC(CCC(C(O)=O)NC(C(O)CC(C(C(O)=O)CCC(O)=O)C(O)=O)=O)=O)=O)C=C2)=CO1
Pacidamycin 5	NC(C(N(C)C(C(C(N/C=C1OC(C(C/1)O)N2C(NC(C=C2)=O)=O)=O)NC(C(NC(NC(C(O)=O)CC3=CC=CC=C3)=O)C)=O)C)=O)CC4=CC=CC(O)=C4
<h1>Nephila clavata<h0> Neurotoxin 2 JSTX-2	O=C(NC(CCCN)C(NC(C(NCCCCCNC(CCNCCCCNC(CCNCCCCN)=O)=O)=O)CC(N)=O)=O)CC1=C(O)C=C(O)C=C1
Diazonamide B	CC(C)C1NC(C(NC(C(O)C(C)C)=O)CC2=CC=C(OC3C45C6=C(C(C7=CC=CC8=C7C(C9=C(Cl)N=C(C%10=C5OC1=N%10)O9)=C(Cl)N8)=CC=C6)N3)C4=C2)=O
Fumonisin C<p2>1<p0>	O=C(C(CC(O)=O)CC(OC(C(OC(CC(C(O)=O)CC(O)=O)=O)CC(CC(O)CCCCC(O)C(O)C(O)CNC(C)=O)C)C(CCCC)C)=O)O
Onnamide B	CC1C(C)C(CC(OC)(C(O)C(NC2OCOC3C2OC(CC(CCC/C=C/C=C/C(NC(C(O)=O)CCCNC(N)=N)=O)=O)C(C)(C)C3OC)=O)O1)=C
Onnamide B	CC1C(C)C(CC(OC)(C(O)C(NC2OCOC3C2OC(CC(O)/C=C/C/C=C/C=C/C(NC(C(O)=O)CCCNC(N)=N)=O)C(C)(C)C3OC)=O)O1)=C
Onnamide D	C=C1C(C)C(C)OC(OC)(C(O)C(NC(OC)C2CC(O)C(C)(C)C(CC(CCC/C=C/C=C/C=C/C(NC(C(O)=O)CCCNC(N)=N)=O)O)O2)=O)C1
Antibiotic SB 22484	OC(O1)(C(CC)C(NC/C=C\C=C(C(OC)C(C2C(O)C(O)C(O2)/C=C/C=C/C=C(C(C3=C(O)C=CNC3=O)=O)/C)C)/C)=O)CC(O)C(C)C1/C=C/C=C/C
Coenzyme A	NC1=NC=NC2=C1N=CN2C(C(O)C3OP(O)(O)=O)OC3COP(O)(OP(O)(OCC(C)(C(O)C(NCCC(NCCS)=O)=O)C)=O)=O
Onnamide B	CC1C(C)C(CC(OC)(C(O)C(NC2OCOC3C2OC(CC(O)CCC/C=C/C=C/C(NC(C(O)=O)CCCNC(N)=N)=O)C(C)(C)C3OC)=O)O1)=C
Motuporin	CC(/C=C(C)/C=C/C(NC(C(NC(C(C)C(NC(/C(N1C)=C/C)=O)C(O)=O)=O)C(C)C)=O)C(C(NC(C(O)=O)CCC1=O)=O)C)C(OC)CC2=CC=CC=C2
Calpinactam	NC(C(NC(CC(C)C)C(NC(CC1=CNC=N1)C(NC(CCC(O)=O)C(NC(C(CC)C)C(NC2C(NCCCC2)=O)=O)=O)=O)=O)=O)CC3=CC=CC=C3
Ceratospongamide	O=C(NC(C(N1C(C(NC(C2=NC(C(NC3CC4=CC=CC=C4)=O)C(C)O2)C(C)CC)=O)CCC1)=O)CC5=CC=CC=C5)C6=CSC(C7CCCN7C3=O)=N6
Eudistomide B	O=C(NC(CC(C)C)C(NC(C(OC)=O)CSSCC(NC(CCCCCCCCCCC(CC)=O)=O)C1=O)=O)C2CCCN2C(C3CCCN31)=O
Lipopurealins	O=C(NCCC1=CNC(N)=N1)/C(CC2=CC(Br)=C(OCCCNC(CCCCCCC/C=C/CCCCC(C)C)=O)C(Br)=C2)=N\O
Nannochelin C	ON(C(/C=C/C1=CC=CC=C1)=O)CCCCC(C(OC)=O)NC(CC(O)(C(O)=O)CC(NC(CCCCN(C(/C=C\C2=CC=CC=C2)=O)O)C(OC)=O)=O)=O
RPI-856-C	O=C(C(CC1=CC=CC=C1)NC(C(CC(C)C)NC(C(C2=CC(O)=CC(O)=C2)NC(C(C(C)C)N)=O)=O)=O)C(NC(C(C)C)C(NC(C(C)C)C(O)=O)=O)=O
RPI-856-D	O=C(C(CC1=CC=CC=C1)NC(C(CC(C)C)NC(C(C2=CC(O)=CC(O)=C2)NC(C(C(C)C)N)=O)=O)=O)C(NC(C(C)C)C(NC(C(C)C)C(O)=O)=O)=O
Itralamide A	O=C(C(N(C)C(C(NC(C(C(C)C)N(C)C(C1N(C)C(CC(C)C(Cl)Cl)=O)=O)=O)C)=O)C)N(C)C(CC2=CC=CC=C2)C(NC(C)C(OC1C)=O)=O
Asterobactin	OC(COC(C1=CC=CC=C1O)=O)C(NC(CCCN(C=O)O)C(OC(CCCCCCCC)C(C)C(NC(CCCN(C(N)=N)O)C(NO)=O)=O)=O)=O
Beauvericins	O=C(C(OC(C(N(C)C(C(C(C)C)OC(C(N(C)C(C1C(C)C)=O)CC2=CC=CC=C2)=O)=O)CC3=CC=CC=C3)=O)C(C)C)NC(C(O1)=O)CC4=CC=CC=C4
Microginin 478	CNC(C(C(NC(C(C)C)C(N(C)C(C(C)C)C(N(C)C(CC1=CC=C(O)C=C1)C(NC(C(O)=O)CC2=CC=C(O)C=C2)=O)=O)=O)=O)O)CCCCCCC
Nocardimicin	O=C(NC(CCCCN(O)C(C)=O)C(OC(CCCCCCCCCCCCC)C(C)C(NC1CCCCNC1=O)=O)=O)C2=COC(C3=C(O)C=CC=C3)=N2
Eudistomide B	O=C(NC(CC(C)C)C(NC(C(OC)=O)CSSCC(NC(CCCCCCCCCCC(O)CC)=O)C1=O)=O)C2CCCN2C(C3CCCN31)=O
Bouvardin	CN(C(C(C)NC(C(CC1=CC=C(OC)C=C1)N2C)=O)=O)C(CC3=CC=C(O4)C=C3)C(N(C(CC5=CC=C(O)C4=C5)C(NC(CC)C(NC(C)C2=O)=O)=O)C)=O
Tasipeptin A	OC1CCC(NC(C(NC(C(NC(CCC)=O)C(C)O2)=O)CC(C)C)=O)C(N1C(CC(C)C)C(N(C)C(C(NC(C(C)C)C2=O)=O)CC3=CC=CC=C3)=O)=O
Phyllanthusol B	O=C(O[C@@H]1C[C@H](O)C(O)[C@@H](O)[C@H]1OC2OC(CO)C(O)C(O)C2NC(C)=O)C3CC4C(C(O)C5(OCC(C)C(OC(C6=CC=CC=C6)=O)C5)O4)(O)C(O)C3
Cadystin A	O=C(O)CNC(C(CS)NC(CCC(C(O)=O)NC(C(CS)NC(CCC(C(O)=O)NC(C(CS)NC(CCC(N)C(O)=O)=O)=O)=O)=O)=O)=O
Destruxins	O=C(C(CC(C)(OC1OC(CO)C(O)C(O)C1O)C)OC(CCNC(C(C)N(C)C(C(C(C)C)N(C)C(C(C(C)CC)NC2=O)=O)=O)=O)=O)N3C2CCC3
Gypsophin	O=C(NCC(NC(C(NC1C(N(C(CC2=CC=CC=C2)C(NC(C(NC3CC(C)C)=O)C(C)CC)=O)C(C1)=O)=O)=O)CC4=CC=CC=C4)=O)C5N(C3=O)CCC5
Micropeptin 478A	N=C(N)NCCCC(C(NC(CCC1OC)C(N1C(C(C)CC)C(N(C)C(C(NC(C(OC(C2N)C)=O)C(C)CC)=O)CC3=CC=CC=C3)=O)=O)=O)NC2=O
Microginin 99A	O=C(NC(CC1=CC=C(O)C=C1)C(NC(CC(C)C)C(N(C)C(CC2=CC=C(O)C=C2)C(N3C(C(O)=O)CCC3)=O)=O)=O)CC(N)CCCCCCCCl
Microginin 91C	O=C(NC(CC1=CC=C(O)C=C1)C(O)=O)C2N(C(C(CC(C)C)N(C)C(C(C(C)CC)NC(C(C(CCCCCCC(Cl)Cl)N)O)=O)=O)=O)CCC2
Bouvardin	CN(C(C(C)NC(C(CC1=CC=C(OC)C=C1)N2C)=O)=O)C(CC3=CC=C(O4)C=C3)C(N(C(CC5=CC=C(O)C4=C5)C(NC(C)C(NC(CO)C2=O)=O)=O)C)=O
Phalloin	CC(NC(C1CC(CN1C2=O)O)=O)C(NC(C(NC(C(NC(C(NC(C(C)O)C3=O)=O)C)=O)CC(C)(O)C)=O)CC4=C(SCC2N3)NC5=C4C=CC=C5)=O
Streptothricin	O=C1C2N/C(NC2C(O)CN1C)=N\C(C(C(O)C3OC(N)=O)NC(CC(N)CCCNC(CC(N)CCCNC(CC(N)CCCN)=O)=O)=O)OC3CO
Antibiotic RF 2691B	CC(C)=CCOC1=CC=C(CC(C2=O)NC(C(CC(C)C)OC(C(OC(C(CO)NC(C(NC(C(N2C)CC(C)C)=O)C(CC)C)=O)=O)C(C)C)=O)=O)C=C1
Nephilatoxin 7	O=C(NC(C(NC(CC(O)=O)C(NCCCCCNC(CCNCCCCNC(CCNCCCCN)=O)=O)=O)=O)CCCN)CC1=CNC2=C1C=CC=C2
Iejimalide B	CC(/C=C(C)/C(OC1/C(C)=C/C=C(C)/CNC(C(COS(=O)(O)=O)NC=O)=O)=O)/C=C/C(C)=C/C(C/C=C/C(C)=C/CCC(OC)/C=C/C=C/C1C)OC
Tawicyclamide B	O=C(NC(C(C)C)C1=O)C2=CSC(C(C(CC)C)NC(C3N=C(C(NC(C4=CSC(C(C(C)C)NC(C5CCN1C5)=O)=N4)=O)CC(C)C)SC3)=O)=N2
Coenzyme F420	O=C(N=C1C2=CC3=CC=C(C=C3N1CC(C(C(O)COP(OC(C(NCCC(C(NC(CCC(O)=O)C(O)=O)=O)C(O)=O)=O)C)(O)=O)O)O)O)NC2=O
Carboxymycobactins	CC1OC(C2=CC=CC=C2O)=NC1C(NC(C(OC(C(C)C(NC3C(N(O)CCCC3)=O)=O)CC)=O)CCCCN(O)C(/C=C\CCCCCC(O)=O)=O)=O
Paecilodepsipeptide B	OC1=CC=C(CC(C(NC(C)C(NC(CC2=CC=C(OCC=C(C)C)C=C2)C(OC)=O)=O)=O)NC(CNC(C(NC(C(CC3=CC=CC=C3)O)=O)C)=O)=O)C=C1
Nocardimicin	O=C(NC(CCCCN(O)C=O)C(OC(CCCCCCCCCCCCC)C(C)C(NC1CCCCN(O)C1=O)=O)=O)C2N=C(C3=C(O)C=CC=C3)OC2
Dolastatin 17	O=C(N(C)C(C(C)C)C(OC(C(C)C)C1=O)=O)C(CCC2)N2C(C(C(C)C)OC(CC(CCCC#C)NC(C(NC(C(C(C)C)N1C)=O)CC(C)C)=O)=O)=O
Astrocerebrosides	OC(C(OCC(NC(C(CCCCCCCCCCCCC)O)=O)C(C(CCCC/C=C/CCCCCCCCCCCC)O)O)OC1CO)C(C1O)O
Vicibactin	O=C(N(O)CCCC(NC(C)=O)C(OC(C)CC(N(O)CCCC(NC(C)=O)C(OC(C)CC(N(CCCC1NC(C)=O)O)=O)=O)=O)=O)CC(C)OC1=O
Cephabacin M	NC(C(O)=O)CCCC(NC1(OC)C(N2C1SCC(COC(CC(O)C(NC(C(C(C)C)NC(C(N)CCCN)=O)=O)CC(N)=O)=O)=C2C(O)=O)=O)=O
5-Hydroxytryptamine	OC(C(O)C1O)C(COC2OC(CO)C(O)C(O)C2O)OC1OC3=CC4=C(NC=C4CCNC(CCCC/C=C/C/C=C/C/C=C\C/C=C\C(O)C)=O)C=C3
Unguisin C	O=C(NCCCC(NC(C)C(NC(C(C)C)C(NC(C(NC(C(NC1CO)=O)C(C)C)=O)CC2=CC=CC=C2)=O)=O)=O)C(NC1=O)CC3=CNC4=C3C=CC=C4
Araplysillin I	COC(C(Br)=CC12CC(C(NCCCOC3=C(Br)C=C(C(O)CNC(C)=O)C=C3Br)=O)=NO2)=C(C1O)Br
Phakellistatin 14	O=C(NC(C(NC(CC(OC)=O)C(NC(C)C(NC(CCSOC)C1=O)=O)=O)=O)CC2=CC=CC=C2)C3N(C(C(NC(C(C)N1)=O)C(C)CC)=O)CCC3
Antibiotic BE 32030	OC1=C(O)C=CC=C1C2=NC(C)(C(NC(CCCCN(O)C(CCCCCCCCCCC)=O)C(OC(C)CC(NC3C(N(O)CCCC3)=O)=O)=O)=O)CO2
Streptothricin acids	O=C(CC(N)CCCNC(CC(CCCNC(CC(N)CCCN)=O)N)=O)NC1C(O)C(O)C(COC(N)=O)OC1/N=C2NC(C(O)CN)C(C(O)=O)N\2
Patellamide B	CCC(C)C1C2=NC(C(NC(CC3=CC=CC=C3)C4=NC(C(NC(CC(C)C)C5=NC(C(NC(C)C6=NC(C(N1)=O)=CS6)=O)C(C)O5)=O)=CS4)=O)C(C)O2
Patellamide D	CC(NC(C1C(C)OC(C(C(CC)C)NC(C2=CSC(C(CC3=CC=CC=C3)NC4=O)=N2)=O)=N1)=O)C5=NC(C(NC(C6=NC4C(O6)C)C(CC)C)=O)=CS5
Caracasandiamide	COC(C(OC)=C1)=CC=C1C2C(C3=CC(OC)=C(OC)C=C3)C(C(NCCCCNC(NCC=C(C)C)=N)=O)C2C(NCCCCNC(NCC=C(C)C)=N)=O
Taxol	CC1=C(C(O)C(C2(C)C(O)CC3C(CO3)(OC(C)=O)C2C4OC(C5=CC=CC=C5)=O)=O)C(C)(C)C4(O)CC1OC(C(O)C(C6=CC=CC=C6)NC(CCC)=O)=O
Ganefromycin ^d<p2>1<p0>	CC(C(OC1(O)C(C(NC/C=C/C=C(C(OC)C(C(OC2/C=C\C=C\C=C\C(O)=O)CC2O)C)\C)=O)C)/C=C\C=C\C)(C(C1OC(CC3=CC=CC=C3)=O)O)C
5-Hydroxytryptamine	OC(C(O)C1O)C(COC2OC(CO)C(O)C(O)C2O)OC1OC3=CC4=C(NC=C4CCNC(CCCC/C=C/C/C=C/CCCCCCC(O)C)=O)C=C3
(2S,4R,6S)-A-73-A	O=C1C(C(/C(C)=C/C=C/C=C/C=C/C(O)C(O)C(C)C(OC)/C(C)=C/C=C/CNC([C@@H](CC)[C@@](C[C@@H](O)C(C)2C)(O)O[C@@]2([H])/C=C/C=C\C)=O)=O)=C(O)C=CN1C
(2S,4S,6S)-Factumycin; A 40A; Dehydrokirrothricin	O=C1C(C(/C(C)=C/C=C/C=C/C=C\C(O)C(O)C(C)C(OC)/C(C)=C/C=C/CNC([C@@H](CC)[C@@](C[C@H](O)C(C)2C)(O)O[C@@]2([H])/C=C/C=C/C)=O)=O)=C(O)C=CN1C
Maduropeptin	OC1CC=C(C#C/C(C(OC)C#CC2OC3=C(OC)C=CC(C(O)C4)=C3Cl)=C/CNC4=O)C12OC5C(O)C(O)(C)C(NC(C6=C(O)C(C)=CC=C6C)=O)CO5
Anachelin H	OC1=CC2=C([N+](C)(C)CC(NC(C(CO)NC(C(NC(C(NC(CC(O)CC(O)C(NC(C3=C(O)C=CC=C3)=O)CO)=O)C(O)C)=O)CO)=O)=O)C2)C=C1O
Zelkovamycin	O=C(C1=CSC(C(NC(CN(C)C(/C(NC(C(NC2=O)CC)=O)=C\C)=O)=O)C)=N1)NC(C(NC(C)(C(NC2)=O)C(C)=O)=O)CC3=CNC4=C(OC)C=CC=C43
Onnamide A	OC(C(NC(OCO1)C(C1C2OC)OC(CC(O)CCC/C=C/C=C/C=C/C(NC(C(O)=O)CCCNC(N)=N)=O)C2(C)C)=O)C(O)(OC(C3C)C)CC3=C
Onnamide B	CC1C(C)C(CC(OC)(C(O)C(NC2OCOC3C2OC(CC(OC)/C=C/C/C=C/C=C/C(NC(C(O)=O)CCCNC(N)=N)=O)C(C)(C)C3OC)=O)O1)=C
Pacidamycin 5T	O=C(N1)C=CN(C(O/2)C(O)CC2=C\NC(C(NC(C(NC(NC(C(O)=O)CC3=CC=CC(O)=C3)=O)C)=O)C(C)N(C)C(C(CC4=CC=CC(O)=C4)N)=O)=O)C1=O
Dysinosin C	OC1C(OC2C(O)C(O)C(O)C(CO)O2)CC3C(N(C(C(C(C)C)NC(C(OC)COS(=O)([O-])=O)=O)=O)C(C(NCCC(C4)=CC[N+]4=C(N)N)=O)C3)C1
