NAME	Molecular Weight	SMILE Format	SOURCE	ACTIVITY
Polyoxin A	630.52	O=C(C(C(C(COC(N)=O)O)O)N)NC(C(OC1N(C=C2C(O)=O)C(NC2=O)=O)C(C1O)O)C(N3C/C(C3C(O)=O)=C\C)=O		
Edulirin B	630.694	COC1=C(OCO2)C2=CC3=C1C4(O)C(C5=CC=CC=C5)C(C(N6C(NC(C(C)C)=O)CCC6)=O)C(C4O)(C7=CC=C(OC)C=C7)O3		
Thapsakin B	630.694	O=C(N1C(NC(C(C)C)=O)CCC1)C2C(C3=CC=CC=C3)C(C4=CC=C(OC)C=C4)(C5O)OC6=CC7=C(OCO7)C(OC)=C6C25O		
Cittilin A	630.698	O=C(C(C(CC)C)NC(C(N)C1)=O)NC(C(NC(C(O)=O)C2)=O)CC3=CC(C4=C(OC)C=CC1=C4)=C(O)C(OC5=CC=C2C=C5)=C3		
Streptothricin E; Racemomycin C; Practomycin C; Yazumycin C;  Boseimycin II; E-977-C; S-15-1-B; 229- C; RM-;  R4C; Nourseothricin E	630.704	O=C(NC[C@H]1O)[C@@]([C@]1([H])N/2)([H])NC2=N\[C@H]3[C@H](NC(CC(CCCNC(CC(CCCN)N)=O)N)=O)[C@@H]([C@@H](OC(N)=O)[C@@H](CO)O3)O	Streptomyces racemochromogenes, S.perpeofuscus, S. lavendulae, S.noursei	(S.aureus, .3) (B.subt., 1.5) (S.lutea, 1.5) (E.coli, 3) (Shyg., 10) (P.vulg., ) (Ps.aer., 50) (C.alb., .3) (g-pos., ) (g-neg., )
Streptothricin	630.704	O=C1NCC(O)C(N2)C1N=C2NC3OC(COC(N)=O)C(O)C(O)C3NC(CC(N)CCCNC(CC(N)CCCN)=O)=O		
Aglaforbesine A	630.738	OC12C(C3=CC=CC=C3)C(C(N4C(NC(C(CC)C)=O)CCC4)=O)C(C5=CC=C(OC)C=C5)(C2O)OC6=C1C(OC)=CC(OC)=C6		
Aglaine B	630.738	OC12C(C(N3C(NC(C(CC)C)=O)CCC3)=O)C(C4=CC=CC=C4)C(C5=CC=C(OC)C=C5)(C2O)OC6=C1C(OC)=CC(OC)=C6		
Aglaine B	630.738	OC12C(C(N3C(NC(C(CC)C)=O)CCC3)=O)C(C4=CC=CC=C4)C(C5=CC=C(OC)C=C5)(C2O)OC6=C1C(OC)=CC(OC)=C6		
Antibiotic WIN 64745	630.749	O=C1N2C(N3)C(CC2C(NC1CC4=CC=CC=C4)=O)(C56C7=C(C=CC=C7)NC5N(C(C(NC8=O)CC(C)C)=O)C8C6)C9=C3C=CC=C9		
Pestalazine A	630.749	O=C1NC(CC2=CC=CC=C2)C(N3C4C(C(C=CC=C5)=C5N4)(C6=CC=CC7=C6NC=C7CC8C(NC(CC(C)C)C(N8)=O)=O)CC31)=O		
Beauverolide K<p2>a<p0>	630.83	CC(CC)C(C(OC(C(C)CCCCCC)CC1=O)=O)NC(C(CC2=CC=CC=C2)NC(C(CC3=CNC4=C3C=CC=C4)N1)=O)=O		
Argiopinin IV	630.839	OC1=CC=CC2=C1C(CC(NC(C(NCCCCCNCCCNC(C(CCCNC(N)=N)N)=O)=O)CCCCNC)=O)=CN2		
Amphibine C	631.818	O=C(N1)C2C(CCN2C(C(C(CC)C)NC(C(N(C)C)CC(C)C)=O)=O)OC(C=C3)=CC=C3/C=C/NC(C1CC4=CC=CC=C4)=O		
Amphibine D	631.818	O=C1C2C(CCN2C(C(C(CC)C)NC(C(N(C)C)CC3=CC=CC=C3)=O)=O)OC(C=C4)=CC=C4/C=C/NC(C(C(CC)C)N1)=O		
Hemsine B	631.818	O=C(NC1C(CC)C)C2N(C(C(NC(C(C(C)CC)N(C)C)=O)CC3=CC=CC=C3)=O)CCC2OC4=CC=C(/C=C\NC1=O)C=C4		
Lotusine B	631.818	CCC(C(N1)C(N/C=C\C2=CC=C(OC(CCN3C(C(NC(C(N(C)C)CC(C)C)=O)CC4=CC=CC=C4)=O)C3C1=O)C=C2)=O)C		
Dysinosin A	632.73	OC1C(O)CC(N(C(C(CC(C)C)NC(C(OC)COS(=O)([O-])=O)=O)=O)C(C(NCCC(C2)=CC[N+]2=C(N)N)=O)C3)C3C1		
Pupukeamide	632.843	CCCC(N(C)C(C(C)C)C(NC(C(C)C)C(N(C)C(CC1=CC=C(OC)C=C1)C(N(C)C(C(CC)C)C(OC)=O)=O)=O)=O)=O		
Sativanine F	633.746	O=CNC(C(C)C)C(NC(C(C)C)C(N1C(C2CC1)C(NC(CC3=CC=CC=C3)C(N/C=C/C4=C(OC)C=CC(O2)=C4)=O)=O)=O)=O		
Jasplakinolide O	634.774	OC1=CC=C(C(NC(C(N(C)C(C(C)N2)=O)CC(C3=CC=CC=C3N)=O)=O)CC(OC(CC(C)/C=C(C)/CC(C)C2=O)C)=O)C=C1		
Unnarmicin A	634.818	CC(C)CC(NC(C(NC(C(NC(CC(OC(C(N1)CC2=CC=CC=C2)=O)CCC)=O)CC(C)C)=O)CC3=CC=CC=C3)=O)C1=O		
Zygosporamide	634.818	O=C(NC(CC(C)C)C(NC1CC(C)C)=O)C(NC(C(CC(C)C)OC(C(CC2=CC=CC=C2)NC1=O)=O)=O)CC3=CC=CC=C3		
Hyalbiuronic acid	635.572	O=C(C1OC(OC2C(OC(C)=O)C(OC(OC)C2NC(C)=O)COC(C)=O)C(C(C1OC(C)=O)OC(C)=O)OC(C)=O)OC		
Oxachelin	635.631	ON1CCCC(NC(CCNC(C(CCCN(C=O)O)NC(C(CO)NC(C2N=C(C3=C(O)C=CC=C3)OC2)=O)=O)=O)=O)C1=O		
Cotteslosin A	635.762	O=C(NC(C(NC(C(C)C)C(N(C)C(CC1=CC=C(O)C=C1)C(NC(CC2=CC=C(O)C=C2)C3=O)=O)=O)=O)C(C)C)C4N3CCC4		
Glycylalanylprolylmethionylphenylalanylvalinamide	635.766	NCC(NC(C)C(N1C(CCC1)C(NC(CC2=CC=CC=C2)C(NC(CC3=CC=CC=C3)C(NC(C(C)C)C(N)=O)=O)=O)=O)=O)=O		
Glycylalanylprolylmethionylphenylalanylvalinamide	635.781	NCC(NC(CO)C(N1C(CCC1)C(NC(CCSC)C(NC(CC2=CC=CC=C2)C(NC(C(C)C)C(N)=O)=O)=O)=O)=O)=O		
Suberedamine A	636.223	BrC1=CC(CCNC(C(N)CC2=CC(Br)=C(OC)C=C2)=O)=CC(Br)=C1OCCCN(C)C		
Allosamidin	636.652	COCC1OC(C(C(O)C1O)NC(C)=O)OC(C(OC2OC3C(O)C4N=C(N(C)C)OC4C3CO)CO)C(O)C2NC(C)=O		
<h1>Nephila clavata<h0> Neurotoxin 4 JSTX-4	636.755	OC1=CC(O)=C(CC(NC(C(NCCCCCNC(C(NC(C(N)CCCNC(N)=N)=O)CCCN)=O)=O)CC(N)=O)=O)C=C1		
Ansatrienin A; Mycotrienin I; T 231	636.786	O=C(C1CCCCC1)N[C@@](C)([H])C(O[C@@H]2[C@H](C)[C@@H](O)/C(C)=C\CCC(C(C(NC(C[C@@H](OC)/C=C/C=C/C=C/C2)=O)=C3)=O)=CC3=O)=O	(A) S. collinus sp. collinus Tue 1892. s. rishiriensis t-23	(S.cerev., 5-5o) (Fungi, 5) (Phyt.fungi, 6) (C.alb., 5) (Trichophyton sp., 2) (antifungal, ) (antitumor, )
Ansatrienin B	636.786	O=C(C(NC(CC(OC)/C=C/C=C/C=C\CC(C1C)OC(C(C)NC(C2CCCCC2)=O)=O)=O)=C3)C(CC/C=C(C1O)\C)=CC3=O		
Benzoxazomycin	636.786	C/C1=C/CCC2=CC(O)=CC3=C2OC(/C=C/C=C/CC(OC(C(C)NC(C4CCCCC4)=O)=O)C(C)C1O)C(C(OC)C5)N3C5=O		
Argiopine	636.799	NC(NCCCC(C(NCCCNCCCNCCCCCNC(C(CC(N)=O)NC(CC1=C(O)C=C(O)C=C1)=O)=O)=O)N)=N		
Flavolipids	636.875	CC(C)CCC/C=C\C(NCCCCCNC(CC(CC(NCCCCCNC(/C=C\CCCC(C)C)=O)=O)(O)C(O)=O)=O)=O		
Destruxins	637.775	O=C(C(CC(C(O)=O)C)OC(CCNC(C(C)N(C)C(C(C(C)C)N(C)C(C(C(C)CC)NC1=O)=O)=O)=O)=O)N2C1CCCC2		
GYIRF amide	637.786	NCC(NC(CC1=CC=CC=C1)C(NC(C(CC)C)C(NC(CCCNC(N)=N)C(NC(CC2=CC=CC=C2)C(N)=O)=O)=O)=O)=O		
Isariin; Isariin A	637.863	O=C(C(C(C)C)NC1=O)NC(CC(C)C)C(NC(C)C(NC(C(C)C)C(OC(CCCCCCCCC)CC(NC1)=O)=O)=O)=O	Isaria cretacea	(C.alb., ) (S.aureus, )
Variceramides	638.075	CCCCCCCCCCCCCCC(C(C(NC(CCCCCCCCCCCCCCCCCCCCC)=O)CO)O)=O		
Nikkomycin JT	638.587	O=C(NC1=O)N(C=C1C)[C@@H]([C@H](O)[C@@H]2O)O[C@@H]2C(NC(C(N)C(C)C(O)C(N=C3)=CC=C3O)=O)C(NC(CCC(O)=O)C(O)=O)=O	(A) S. tendae, pyr mutant	(fungi, )
Grossamide	638.673	OC1=CC=C(CCNC(/C=C/C2=CC(C(C(O3)C4=CC(OC)=C(O)C=C4)C(NCC(C5=CC=C(C=C5)O)=O)=O)=C3C(OC)=C2)=O)C=C1		
Secofoveoglin	638.717	COC1=CC(OC)=CC(O)=C1C(C(C(NCCCCNC(C2=CC=CC=C2)=O)=O)C(C(C3=CC=C(OC)C=C3)=O)C4=CC=CC=C4)=O		
Stellarin C	638.722	O=C(NC(C(CCO)C)C(NC(CC1=CC=CC=C1)C(NC(CC2=CC=CC=C2)C3=O)=O)=O)C(CO)NC(CNC(C(C)N3)=O)=O		
Stephanotic acid	638.766	OC(C(NC(C(NC(C(NC(C1NC(C(N2)CCC2=O)=O)=O)C(CC)C)=O)C(C)C)=O)CC3=CNC4=C3C=CC(C1C(C)C)=C4)=O		
Ansatrienin B; T23II; (+)-Mycotrienin II	638.802	O=C(C1CCCCC1)N[C@H](C)C(O[C@@H]2[C@H](C)[C@@H](O)/C(C)=C\CCC3=C(O)C(NC(C[C@@H](OC)/C=C/C=C/C=C/C2)=O)=CC(O)=C3)=O	Streptomyces collinus Tue 1892, Streptomyces rishiriensis	(antitumor, ) (S.cerev., 5o) (Fungi, 5) (Phyt.fungi, )
Octacosamicin B	638.803	OC(C(C)CCC/C=C/C=C\CCCC(/C=C\C=C/CCCCCN(C(N)=N)O)=O)CC(O)CC(C(C(NCC(O)=O)=O)O)O		
Sporidesmolides	638.847	O=C(NC(C1=O)C(C)C)C(C(C)C)OC(C(NC(C(NC(C(OC(C(N1C)CC(C)C)=O)C(C)C)=O)C(C)C)=O)CC(C)C)=O		
Antibiotic WB 3559A	638.931	OCC(C(O)=O)NC(CNC(CC(CCCCCCCCCCC(C)C)OC(CC/C=C\CCCCCCCC(C)C)=O)=O)=O		
Cryptophycin 4	639.186	O=C(C(CC(C)C)OC(C(C)CN1)=O)OC(C/C=C/C(NC(CC2=CC(Cl)=C(OC)C=C2)C1=O)=O)C(C)/C=C/C3=CC=CC=C3		
Cryptophycin 4	639.186	O=C(C(CC(C)C)OC(C(C)CN1)=O)OC(C/C=C/C(NC(CC2=CC(Cl)=C(OC)C=C2)C1=O)=O)C(C)/C=C/C3=CC=CC=C3		
Cryptophycin 18	639.186	O=C(C(C)CNC(C(CC1=CC=C(OC)C(Cl)=C1)N2)=O)OC(C(CC)C)C(OC(C(C)/C=C/C3=CC=CC=C3)C/C=C/C2=O)=O		
Petrosifungin A	639.75	O=C(NC(C(C)OC(C1N(C(C2N3CCCC2)=O)CCCC1)=O)C(NC(C(C)C)C(N4C(C3=O)CCC4)=O)=O)C5=CC=C(O)C=C5		
Apicidin	639.794	O=C(NC(CCCCCC(C(O)C)=O)C1=O)C2CCCCN2C(C(C(CC)C)NC(C(CC3=CN(OC)C4=C3C=CC=C4)N1)=O)=O		
Neobonellin	639.797	CC1=CC(C=C2C(C)=C3CCC(O)=O)=NC1=CC(N4)=CC(C)=C4C=C(N=C5C=C3N2)C(C)(C5CCC(NC(C(O)=O)C(C)CC)=O)C		
Miuraenamide A	640.174	OC1=C(Cl)C=C(CC(N(C)C(C(NC(CCC/C=C(C)/CCC(C)OC2=O)=O)C)=O)C(N/C2=C(C3=CC=CC=C3)/OC)=O)C=C1		
Homoglutathione	640.68	O=C(C(N)CCC(NC(C(NCCC(O)=O)=O)CSSCC(NC(CCC(N)C(O)=O)=O)C(NCCC(O)=O)=O)=O)O		
3,3_p,4,4_p,5-Pentahydroxy-2,7_p-cyclolign-7-ene-9,9_p-dioic acid	640.689	O=C(NCCC1=CC=C(O)C=C1)C2=CC3=CC(OC)=C(O)C(OC)=C3C(C4=CC=C(O)C(O)=C4)C2C(NCCC5=CC=C(O)C=C5)=O		
Bufogenin	640.778	CC1(C23OC3CC1C(C=C4)=COC4=O)CCC5C2CCC6CC(OC(CCC(NC(C(O)=O)CCCNC(N)=N)=O)=O)CCC56C		
Guineamide C	640.822	COC(C=C1)=CC=C1CC(N(C)C(C(C(C)CC)OC2=O)=O)C(NC(C(C)C)C(N(C)C(C(NC(CCCC#C)C2C)=O)C)=O)=O		
Lyngbyatoxin A	640.822	CC(C)=CCCC(C=C)(C)C1=CC=C2C3=C1NC=C3CC(COC4C(NC(C)=O)C(O)C(O)C(CO)O4)NC(C(C(C)C)N2C)=O		
Antibiotic WB 3559C	640.947	O=C(C(CO)NC(CNC(CC(OC(CCCCCCCCCCCC(C)C)=O)CCCCCCCCCCC(C)C)=O)=O)O		
Topostin D 640	640.947	O=C(CC(OC(CCCCCCCCCCCC(C)C)=O)CCCCCCCCCCCC(C)NC(C(O)=O)CO)NCC=O		
Cryptophycin 4	641.158	O=C(C(CC(C)C)OC(C(C)CN1)=O)OC(C/C=C/C(NC(CC2=CC(Cl)=C(O)C=C2)C1=O)=O)C(C)C(O3)C3C4=CC=CC=C4		
Cryptophycin 28	641.158	O=C(C(C)CNC(C(CC1=CC=C(OC)C(Cl)=C1)N2)=O)OC(CC(C)C)C(OC(CC(O3)C3C4=CC=CC=C4)C/C=C/C2=O)=O		
Cryptophycin 29	641.158	O=C(CCNC(C(CC1=CC=C(OC)C(Cl)=C1)N2)=O)OC(CC(C)C)C(OC(C(C)C(O3)C3C4=CC=CC=C4)C/C=C/C2=O)=O		
Cryptophycin 49	641.158	O=C(C(C)CNC(C(CC1=CC=C(OC)C(Cl)=C1)N2)=O)OC(CCC)C(OC(C(C)C(O3)C3C4=CC=CC=C4)C/C=C/C2=O)=O		
Geodiamolide A	641.54747	O=C(NC(C)C(OC(C)CC(C)/C=C(C)/CC(C)C(NC(C1=O)C)=O)=O)C(N1C)CC(C=C2I)=CC=C2O		
Cyclothialidine; Cyclothialidine A	641.649	O=C(N[C@@H](COC(C1=C(CSC2)C(O)=CC(O)=C1C)=O)C(N[C@@H]2C(N[C@@H](C)C(O)=O)=O)=O)[C@H]3N(CC[C@H]3O)C([C@H](CO)N)=O	Streptomyces filipinensis NR 0484	(DNA gyrase inhib., ) (E. coli, IC50 30 ng/ml) (Micrococcus luteus, )
Lankacidin T	641.714	CC1C2OC(C(C(NC(C(C(O3)C=C(CCC(O)=O)C3=O)C)=O)/C=C(C)/C=C/C(O)C/C=C(C)/C=C/C(OC(C)=O)C2)(C)C1=O)=O		
Cycloaspeptide A	641.769	CN1C(CC2=CC=C(O)C=C2)C(NC3=C(C=CC=C3)C(NC(C)C(N(C)C(CC4=CC=CC=C4)C(NC(CC(C)C)C1=O)=O)=O)=O)=O		
Lipoxin C<p2>4<p0>	641.777	CCCCCC(O)/C=C/C=C\C=C\C=C\C(C(O)CCCC(O)=O)SCC(C(NCC(O)=O)=O)NC(CCC(C(O)=O)N)=O		
SF-1902-A3	641.807	O=C(C(C)C(CCCCCC)OC1=O)N(C)C(CC(C)C)C(NC(C(C)C)C(NC(CO)C(NC(C(C)O)C(NC1)=O)=O)=O)=O	(A) S. hygroscopicus sf-1902 (FERM-p 3277)	(E.coli, ) (g-neg., )
Antibiotic SF 1902	641.807	O=C(NC(C(C)C)C(NC(C(NC(C(NCC(OC(C(C)C1=O)CCCCCC)=O)=O)C(O)C)=O)CO)=O)C(N1C)CC(C)C		
Acalyphamide	642.066	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(NCCC1=CC=C(OC(C)=O)C=C1)=O		
Geodiamolide H	642.19	OC1=CC=C(C(CC(OC(C)CC(/C=C(C)/CC2C)C)=O)NC(C(CC3=CC(Cl)=C(O)C=C3)N(C(C(NC2=O)C)=O)C)=O)C=C1		
Cannabisin E	642.705	OC1=CC=C(CCNC(C(OC2=CC=C(/C=C/C(NCCC3=CC=C(O)C=C3)=O)C=C2OC)C(C4=CC=C(O)C(OC)=C4)O)=O)C=C1		
Streptolydigin-furanosid monoacetate	642.746	O=C(/C1=C(O)\C=C\C(C)=C\[C@](C)([H])[C@@]2([H])OC(OC3[C@]2([H])C)(C)[C@@]4(C=C3)OC4)N(C(CC5)OC5[C@H](C)OC(C)=O)[C@]([C@H](C)C(NC)=O)([H])C1=O	S.lydicus	
Antibiotic 15G256^g	642.75	O=C(C(C(N1)=O)NC(C(CCC(O)=O)NC(C(C(C(C)CCCCCCCC)OC(C1CO)=O)C)=O)=O)C2=CNC3=C2C=CC=C3		
3,14-Dihydroxybufa-20,22-dienolide	642.794	O=C1C=CC(C2C3(C)CCC4C5(CCC(OC(CCC(NC(C(O)=O)CCCNC(N)=N)=O)=O)CC5CCC4C3(O)CC2)C)=CO1		
Geodiamolide R	643.51947	O=C(NC(CO)C(OC(C)CC(C)/C=C(C)/CC(C)C(NCC1=O)=O)=O)C(N1C)CC(C=C2I)=CC=C2O		
Aeruginosin 98A	643.607	O=C(NCCCCNC(N)=N)C1CC2CCC(O)CC2N1C(C(NC(C(CC3=CC(Cl)=C(O)C(Cl)=C3)O)=O)C(CC)C)=O		
Jasplakinolide T	643.785	OC1=CC=C(C(NC(C2CC3=NC=NC4=C3C=CC=C4)=O)CC(OC(C)CC(/C=C(CC(C(NC(C(N2C)=O)C)=O)C)\C)C)=O)C=C1		
Nephilatoxin 9	643.794	O=C(NC(CC(N)=O)C(NCCCCCNC(C(NC(C(CCCNC(N)=N)N)=O)CCCN)=O)=O)CC1=CNC2=C1C=CC=C2		
Ulongamide B	643.8	CN(C(C(OC(C(C)C(NC(C1=CSC2=N1)=O)CCC)=O)C)=O)C(C(N(C(C(C)C)C(NC2C)=O)C)=O)CC3=CC=C(O)C=C3		
Ganefromycin ^d<p2>1<p0>	643.818	CC(C(OC1(O)C(C(NC/C=C/C=C(C(OC)C(C(OC2/C=C\C=C\C=C\C(O)=O)CC2O)C)\C)=O)C)/C=C\C=C\C)(C(C1)O)C		
Arenamide B	643.826	CC(C(OC(C(CC1=CC=CC=C1)NC(C(C)NC(C(NC(C(C(C)C)N2)=O)CC(C)C)=O)=O)=O)CC(NCC2=O)=O)CCCC		
Scopularide B	643.826	O=C(C(NC(CNC(CC(C(CCCC)C)OC1=O)=O)=O)C(C)C)NC(CC(C)C)C(NC(C(NC1CC2=CC=CC=C2)=O)C)=O		
Nephilatoxin 643	643.834	O=C(NC(C(NCCCCCNC(CNCCCCNC(CCNCCCCN)=O)=O)=O)CC(N)=O)CC1=CNC2=CC=CC=C21		
Dolastatin C	643.87	CN(C)C(C(C)CC)C(OC(C(CC)C)C(N(C)C(C(C)CC)C(N1C(C(NC(CC2=CC=CC=C2)C(N)=O)=O)CCC1)=O)=O)=O		
GE 81112	644.039	OC1C(C(NC(CC(O)COC(N)=O)C(NC(CC2=CN=CN2)C(NC(C(C3=CN=C(Cl)N3)O)C(O)=O)=O)=O)=O)NCCC1		
Destruxins	644.207	O=C(C(CC(O)CCl)OC(CCNC(C(C)N(C)C(C(C(C)C)N(C)C(C(NC1=O)C(C)CC)=O)=O)=O)=O)N2C1C(C)CC2		
Destruxins	644.207	O=C(C(CC(O)CCl)OC(CCNC(C(C)N(C)C(C(C(C)CC)N(C)C(C(NC1=O)C(C)CC)=O)=O)=O)=O)N2C1CCC2		
LL-AF-283-beta	644.686	N=C(N)NCCCC(N)C(NCC(O)CC(C(NC(C(O)=O)C(O)C1=CC(C2=CC=C(C3=C2)O)=CC=C1O)=O)NC(C(N)C3)=O)=O	Streptomyces filipinensis	(g-pos. in mice) (Corynebact.xerosis, .1) (S.aureus, .001) (B.subt., 100) (E.coli, 100) (K.pneum., 100)
Biphenomycin A	644.686	O=C(NC(C(O)C1=C(C=CC(C2=CC(CC3N)=C(C=C2)O)=C1)O)C(O)=O)C(NC3=O)CC(C(C(C(N)CCCNC(N)=N)=O)N)O		
Cephabacin H1; TAN-547 D	644.701	O=C1N(C(C(O)=O)=C(COC(C[C@@H](O)[C@H](CCCNC(N)=N)NC([C@H](C)N)=O)=O)CS2)C2[C@@H]1NC(CCC[C@@H](N)C(O)=O)=O	[B] Lysobacter lactamgenus yk-90 (FERM-p 7247, IFO 14288).	
Apicularen A	644.718	CC/C=C\C=C/C(N/C=C/CC1OC(C2=C(CC3OC(CC(O[C@H]4O[C@@H](CO)C(O)[C@H](O)[C@@H]4NC(C)=O)C3)C1)C=CC=C2O)=O)=O		
Edulirin B	644.721	COC1=C(OCO2)C2=CC3=C1C4(O)C(C5=CC=CC=C5)C(C(N6C(NC(CC(C)C)=O)CCC6)=O)C(C4O)(C7=CC=C(OC)C=C7)O3		
Thapsakin B	644.721	O=C(N1C(NC(C(CC)C)=O)CCC1)C2C(C3=CC=CC=C3)C(C4=CC=C(OC)C=C4)(C5O)OC6=CC7=C(OCO7)C(OC)=C6C25O		
Protactin	644.77	NC1=C(C(NC(C(OC(C(C(C)C)N(C(CN(C)C(C2N(C(CC2)C)C3=O)=O)=O)C)=O)C)C(NC3C(C)C)=O)=O)C=CC(C)=C1O		
Glycylalanylprolylmethionylphenylalanylvalinamide	644.778	NCC(NC(C)C(N1C(CCC1)C(NC(CCCNC(N)=N)C(NC(CC2=CC=CC=C2)C(NC(C(C)C)C(N)=O)=O)=O)=O)=O)=O		
Ustiloxin B	645.681	CC1(OC(C(O)=C2)=CC(C(C(C(NC(C(NC1C(NCC(O)=O)=O)=O)C)=O)NC)O)=C2S(CC(O)CC(C(O)=O)N)=O)CC		
Ganefromycin ^d<p2>1<p0>	645.79	CC(C(OC1(O)C(C(NC/C=C/C=C(C(O)C(C(OC2/C=C\C=C\C=C\C(O)=O)CC2O)C)\C)=O)C)/C=C\C=C\C)(C(C1O)O)C		
Zizyphine I	645.801	O=C(C1N2CCC1)N/C=C\C3=CC(OC(CCN4C(C(CC5=CC=CC=C5)NC(C(C(CC)C)N(C)C)=O)=O)C4C2=O)=CC=C3OC		
Zizyphine C	645.801	CC(C(NC(C(N(C)C)CC1=CC=CC=C1)=O)C(N2C(C(CC2)OC(C=C3C=CNC(C4CCCN54)=O)=CC=C3OC)C5=O)=O)CC		
Glycylalanylprolylmethionylphenylalanylvalinamide	645.82	NCC(N1C(CCC1)C(N2C(CCC2)C(NC(CCSC)C(NC(CC3=CC=CC=C3)C(NC(C(C)C)C(N)=O)=O)=O)=O)=O)=O		
<h1>Aglaia dasyclada<h0> Forbagline-like compound	646.693	COC1=C2C(OC(C3=CC=C(O)C=C3)(C(O)=O)C(C4=CC=CC=C4)C(C(NCCCCNC(/C(C)=C/CO)=O)=O)C2=O)=CC(OC)=C1		
Aglaine B	646.737	OC12C(C(N3C(NC(C(CC)C)=O)CCC3)=O)C(C4=CC=CC=C4)C(C5=CC(O)=C(OC)C=C5)(C2O)OC6=C1C(OC)=CC(OC)=C6		
Chondramide A	646.785	CC(OC(C(C(C1=CC=C(O)C=C1)NC(C(CC2=CNC3=C2C=CC=C3)N(C)C(C(C)N4)=O)=O)OC)=O)C(C)/C=C(C)/CC(C)C4=O		
Lotusine E	647.817	CCC(C(N1)C(N/C=C\C2=C(C=CC(OC3CCN(C(C(NC(C(N(C)C)CC(C)C)=O)CC4=CC=CC=C4)=O)C3C1=O)=C2)O)=O)C		
Mucronine D	647.817	CC(CC)C(C(N/C=C\C1=CC(OC2CCN(C23)C(C(CC(C)C)NC(C(N(C)C)CC4=CC=CC=C4)=O)=O)=CC=C1O)=O)NC3=O		
Paliurine I	647.817	COC1=CC=C(OC2CCN(C(C(CC(C)C)NC(C(C(CC)C)NC)=O)=O)C2C(NC3CC4=CC=CC=C4)=O)C=C1/C=C\NC3=O		
Paliurine B	647.817	O=C(N/C=C\C1=C(OC)C=CC(O2)=C1)C(C(CC)C)NC(C3C2CCN3C(C(NC(C(C(CC)C)NC)=O)CC4=CC=CC=C4)=O)=O		
Paliurine C	647.817	O=C1N/C=C\C2=C(OC)C=CC(OC(CCN3C(C(C(CC)C)NC(C(NC)CC4=CC=CC=C4)=O)=O)C3C(NC1C(C)CC)=O)=C2		
Paliurine G	647.817	COC1=CC=C(OC(CCN2C(C(C(C)C)NC(C(CC3=CC=CC=C3)N(C)C)=O)=O)C2C(NC4C(CC)C)=O)C=C1/C=C\NC4=O		
Streptothricin acids	648.719	O=C(CC(N)CCCNC(CC(CCCN)N)=O)NC1C(O)C(OC(N)=O)C(CO)OC1/N=C2NC(C(O)CN)C(C(O)=O)N\2		
Streptothricin acids	648.719	O=C(CC(N)CCCNC(CC(CCCN)N)=O)NC1C(O)C(O)C(COC(N)=O)OC1/N=C2NC(C(O)CN)C(C(O)=O)N\2		
Cepaciamide B	649.014	O=C1NCCCC1NC(CC(CCCCCCCCCCCCC)OC(C(CCCCCCCC/C=C\CCCCCC)O)=O)=O		
Barettin bromobenzisoxazolone	649.3	BrC1=C(C(NOC2=O)=C2C=C1)C(C3NC(C(CCCNC(N)=N)NC3=O)=O)(O)C4=CNC5=C4C=CC(Br)=C5		
Cotteslosin B	649.789	O=C(NC(C(NC(C(CC)C)C(N(C)C(CC1=CC=C(O)C=C1)C(NC(CC2=CC=C(O)C=C2)C3=O)=O)=O)=O)C(C)C)C4N3CCC4		
Suberedamine A	650.25	BrC1=CC(CCNC(C(NC)CC2=CC(Br)=C(OC)C=C2)=O)=CC(Br)=C1OCCCN(C)C		
^a-<h3>L<h0>-Fucopyranosyl-(1~r2)-^b-<h3>D<h0>-galactopyranosyl-(1~r3)-2-amino-2-deoxy-<h3>D<h0>-glucose	650.587	OCC(OC(C1OC(C(C(O)C2O)O)OC2C)OC(C(O)C(OC3OC4=CC=C([N+]([O-])=O)C=C4)CO)C3NC(C)=O)C(C1O)O		
Chondramide A	651.201	CC(OC(CC(C1=CC=C(O)C=C1)NC(C(CC2=C(Cl)NC3=C2C=CC=C3)N(C)C(C(C)N4)=O)=O)=O)C(C)/C=C(C)/CC(C)C4=O		
Scutianine A	651.808	CC(C)C1C(NC(C2CCCN2C(C(NC)CC3=CC=CC=C3)=O)=O)C(NC(CC4=CC=CC=C4)C(N/C=C\C5=CC=C(O1)C=C5)=O)=O		
Myxovirescin P<p2>1<p0>	651.926	CC(C1=O)CC(CCCCCCC(CCCC(/C=C/C=C(CCC(O)C(O)CC(O)CNC(C(O1)CCC)=O)/COC)CC)=O)C		
Variceramides	652.102	CCCCCCCCCCCCCCCC(C(C(NC(CCCCCCCCCCCCCCCCCCCCC)=O)CO)O)=O		
2-Amino-1,3-octadecanediol	652.146	CCCCCCCCCCCCCCCCCCCCCCCC(NC(CO)C(O)CCCCCCCCCCCCCCC)=O		
Capreomycin-IB; 6-L-Alaninecapreomycin IA	652.718	N=C(NCC1)N[C@]1([H])[C@](C(NC[C@H](N)C(N[C@H]2C)=O)=O)([H])NC(/C(NC(C(CNC(CC(CCCN)N)=O)NC2=O)=O)=C/NC(N)=O)=O	S.capreolus, Dactylosporangium variesporum	(S.aureus, 100) (B.subt., 20) (K.pneum., 62) (Mycob.sp., 3)
